zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    1.8864715e-11    0    0    0    0    0    0    0    4.6677879e-14    3.3245015e-13    8.2651441e-13    1.2382054e-12    1.9150921e-12    2.2917481e-12    2.226677e-12    1.7325231e-12    2.3143432e-14    1.5780294e-13    0    1.3418135e-12    2.4959976e-13    0    3.4377742e-13    0    4.3803233e-13    0    7.0606249e-13    1.3575199e-11    0    0    0    0    0
1100.0498    1.9063283e-11    0    0    0    0    0    0    0    4.7689318e-14    3.3945691e-13    8.4413384e-13    1.26476e-12    1.9543476e-12    2.3372385e-12    2.2702567e-12    1.7652602e-12    2.3536004e-14    1.6094552e-13    0    1.3674683e-12    2.5450091e-13    0    3.5009572e-13    0    4.4596813e-13    0    7.1952381e-13    1.3843721e-11    0    0    0    0    0
1099.3264    1.9262404e-11    0    0    0    0    0    0    0    4.8712141e-14    3.4653708e-13    8.6193039e-13    1.2915694e-12    1.9939505e-12    2.3831074e-12    2.3141783e-12    1.7982151e-12    2.3929646e-14    1.6411458e-13    0    1.3933045e-12    2.5943991e-13    0    3.5646138e-13    0    4.539655e-13    0    7.3307915e-13    1.4114428e-11    0    0    0    0    0
1098.603    1.9462022e-11    0    0    0    0    0    0    0    4.9746165e-14    3.5368927e-13    8.7990015e-13    1.3186273e-12    2.0338908e-12    2.4293427e-12    2.35843e-12    1.8313779e-12    2.4324201e-14    1.6730929e-13    0    1.4193147e-12    2.644154e-13    0    3.6287275e-13    0    4.6202249e-13    0    7.4672453e-13    1.4387246e-11    0    0    0    0    0
1097.8797    1.966208e-11    0    0    0    0    0    0    0    5.0791209e-14    3.6091206e-13    8.9803924e-13    1.3459272e-12    2.0741585e-12    2.4759327e-12    2.4030001e-12    1.8647386e-12    2.4719513e-14    1.7052886e-13    0    1.4454913e-12    2.6942602e-13    0    3.6932822e-13    0    4.7013719e-13    0    7.6045602e-13    1.4662106e-11    0    0    0    0    0
1097.1563    1.9862516e-11    0    0    0    0    0    0    0    5.1847092e-14    3.6820408e-13    9.1634377e-13    1.3734627e-12    2.114744e-12    2.5228658e-12    2.4478768e-12    1.8982875e-12    2.5115427e-14    1.737725e-13    0    1.4718269e-12    2.7447042e-13    0    3.7582619e-13    0    4.7830773e-13    0    7.7426971e-13    1.4938937e-11    0    0    0    0    0
1096.433    2.006327e-11    0    0    0    0    0    0    0    5.2913598e-14    3.7556367e-13    9.3480922e-13    1.4012266e-12    2.1556358e-12    2.5701285e-12    2.4930467e-12    1.9320137e-12    2.5511775e-14    1.7703928e-13    0    1.4983133e-12    2.7954709e-13    0    3.8236482e-13    0    4.8653191e-13    0    7.8816118e-13    1.5217659e-11    0    0    0    0    0
1095.7096    2.0264276e-11    0    0    0    0    0    0    0    5.399054e-14    3.8298941e-13    9.5343163e-13    1.4292123e-12    2.1968241e-12    2.6177091e-12    2.5384981e-12    1.9659073e-12    2.5908404e-14    1.803284e-13    0    1.524943e-12    2.8465468e-13    0    3.8894252e-13    0    4.9480786e-13    0    8.0212653e-13    1.54982e-11    0    0    0    0    0
1094.9863    2.0465466e-11    0    0    0    0    0    0    0    5.5077685e-14    3.9047955e-13    9.7220621e-13    1.457412e-12    2.238297e-12    2.6655935e-12    2.5842171e-12    1.999957e-12    2.6305141e-14    1.8363891e-13    0    1.5517073e-12    2.8979158e-13    0    3.9555739e-13    0    5.0313332e-13    0    8.1616117e-13    1.5780478e-11    0    0    0    0    0
1094.2629    2.0666773e-11    0    0    0    0    0    0    0    5.6174812e-14    3.9803243e-13    9.9112839e-13    1.4858183e-12    2.2800432e-12    2.7137684e-12    2.6301903e-12    2.0341519e-12    2.6701823e-14    1.869699e-13    0    1.5785979e-12    2.9495628e-13    0    4.0220762e-13    0    5.1150614e-13    0    8.3026074e-13    1.606441e-11    0    0    0    0    0
1093.5396    2.0868123e-11    0    0    0    0    0    0    0    5.72817e-14    4.0564638e-13    1.0101936e-12    1.5144239e-12    2.3220514e-12    2.7622206e-12    2.6764047e-12    2.0684812e-12    2.7098287e-14    1.9032046e-13    0    1.6056068e-12    3.0014727e-13    0    4.0889144e-13    0    5.1992421e-13    0    8.4442089e-13    1.6349919e-11    0    0    0    0    0
1092.8162    2.1069444e-11    0    0    0    0    0    0    0    5.8398083e-14    4.1331944e-13    1.0293965e-12    1.54322e-12    2.3643087e-12    2.8109347e-12    2.722845e-12    2.1029326e-12    2.7494352e-14    1.9368954e-13    0    1.6327243e-12    3.0536282e-13    0    4.1560676e-13    0    5.2838506e-13    0    8.5863668e-13    1.6636911e-11    0    0    0    0    0
1092.0929    2.1270657e-11    0    0    0    0    0    0    0    5.9523734e-14    4.2104989e-13    1.0487323e-12    1.5721992e-12    2.4068035e-12    2.8598973e-12    2.7694979e-12    2.1374954e-12    2.7889857e-14    1.9707623e-13    0    1.6599425e-12    3.1060142e-13    0    4.2235181e-13    0    5.3688658e-13    0    8.7290376e-13    1.6925307e-11    0    0    0    0    0
1091.3695    2.1471686e-11    0    0    0    0    0    0    0    6.0658379e-14    4.2883574e-13    1.0681957e-12    1.6013527e-12    2.4495227e-12    2.9090929e-12    2.8163482e-12    2.1721573e-12    2.8284624e-14    2.0047946e-13    0    1.6872516e-12    3.1586131e-13    0    4.2912451e-13    0    5.4542627e-13    0    8.8721714e-13    1.7215014e-11    0    0    0    0    0
1090.6462    2.1672447e-11    0    0    0    0    0    0    0    6.1801749e-14    4.3667498e-13    1.0877813e-12    1.6306717e-12    2.4924532e-12    2.9585062e-12    2.8633808e-12    2.2069061e-12    2.8678477e-14    2.0389821e-13    0    1.7146427e-12    3.2114078e-13    0    4.3592283e-13    0    5.5400173e-13    0    9.0157195e-13    1.7505941e-11    0    0    0    0    0
1089.9228    2.1872857e-11    0    0    0    0    0    0    0    6.2953583e-14    4.445657e-13    1.1074837e-12    1.6601479e-12    2.5355825e-12    3.0081227e-12    2.9105813e-12    2.2417302e-12    2.9071249e-14    2.0733145e-13    0    1.7421066e-12    3.2643817e-13    0    4.4274482e-13    0    5.6261063e-13    0    9.1596347e-13    1.7798e-11    0    0    0    0    0
1089.1995    2.207283e-11    0    0    0    0    0    0    0    6.4113572e-14    4.5250564e-13    1.127297e-12    1.6897716e-12    2.578896e-12    3.0579253e-12    2.9579329e-12    2.2766164e-12    2.9462752e-14    2.1077804e-13    0    1.7696332e-12    3.3175159e-13    0    4.4958822e-13    0    5.7125026e-13    0    9.3038633e-13    1.8091089e-11    0    0    0    0    0
1088.4761    2.2272275e-11    0    0    0    0    0    0    0    6.5281442e-14    4.604928e-13    1.1472157e-12    1.7195342e-12    2.6223808e-12    3.1078989e-12    3.0054209e-12    2.3115528e-12    2.9852817e-14    2.1423694e-13    0    1.7972135e-12    3.3707934e-13    0    4.5645106e-13    0    5.7991827e-13    0    9.4483573e-13    1.8385119e-11    0    0    0    0    0
1087.7528    2.2414866e-11    0    0    0    0    0    0    0    6.6026503e-14    4.655105e-13    1.159365e-12    1.7371917e-12    2.6481027e-12    3.1374194e-12    3.0330851e-12    2.3311785e-12    3.0043006e-14    2.1628603e-13    0    1.8128912e-12    3.4015269e-13    0    4.6061071e-13    0    5.8530563e-13    0    9.5302103e-13    1.8557446e-11    0    0    0    0    0
1087.0294    2.2445086e-11    0    0    0    0    0    0    0    6.5928033e-14    4.646181e-13    1.1560759e-12    1.7308328e-12    2.6386514e-12    3.1264956e-12    3.0216016e-12    2.3206655e-12    2.9843422e-14    2.155464e-13    0    1.8051142e-12    3.3877562e-13    0    4.5943611e-13    0    5.8421367e-13    0    9.4886583e-13    1.8489248e-11    0    0    0    0    0
1086.306    2.2473267e-11    0    0    0    0    0    0    0    6.5826386e-14    4.6370473e-13    1.1527215e-12    1.7243611e-12    2.6290637e-12    3.1154404e-12    3.009996e-12    2.3100676e-12    2.9643089e-14    2.147976e-13    0    1.7972699e-12    3.373838e-13    0    4.5825562e-13    0    5.8311951e-13    0    9.4467584e-13    1.8420269e-11    0    0    0    0    0
