z TM e p Hepp Hep He HeHp H Hm H2 H2p H3p D Dp HD HDp H2Dp H2para H2orto    HD_0    HD_1    HD_2    HD_3    HD_4    HD_5    HD_6    HD_7    HD_8    HD_v1j0    HD_v1j1    HD_9    HD_v1j2    HD_v1j3    HD_v1j4    HD_10    HD_ALL
3509.5384 9569.7259 1.0816887 1 1.4100231e-11 0.99999128 8.7178541e-06 8.8055639e-23 5.6919787e-11 1.3252684e-28 6.4110533e-46 1.5712386e-28 3.9902466e-56 5.6919786e-11 1 1.0995903e-43 1.5712385e-28 7.613864e-66 0.25 0.75    0.010236027    0.030298877    0.049165698    0.06614101    0.080669085    0.092365693    0.10103176    0.10664875    0.10935715    0.0059288819    0.017559785    0.10942465    0.028527128    0.03844297    0.046994548    0.10720799    1
3474.0941 9473.1047 1.0816885 1 7.57129e-12 0.99998836 1.1637696e-05 1.1758916e-22 6.6327813e-11 1.5380177e-28 9.8766463e-46 1.8134866e-28 7.6072113e-56 6.6327812e-11 1 1.7188351e-43 1.8134866e-28 1.6898446e-65 0.25 0.75    0.010275433    0.030411359    0.049334765    0.06634146    0.080870044    0.092534166    0.1011362    0.10666213    0.10925927    0.0059186493    0.017527184    0.10920344    0.028466737    0.038346663    0.046852698    0.1068598    1
3439.3731 9378.4554 1.0816882 1 4.0663075e-12 0.99998446 1.5535906e-05 1.5686596e-22 7.7297576e-11 1.7852942e-28 1.5223496e-45 2.0941286e-28 1.4499078e-55 7.7297574e-11 1 2.6871855e-43 2.0941285e-28 3.7498645e-65 0.25 0.75    0.01031492    0.030524051    0.049504081    0.066542083    0.081070994    0.092702391    0.10124017    0.10667495    0.10916096    0.0059084081    0.017494566    0.10898222    0.028406351    0.038250439    0.046711094    0.10651233    1
3404.6522 9283.8061 1.0816877 1 2.1562345e-12 0.99997913 2.0865604e-05 2.1033392e-22 9.0377099e-11 2.0792109e-28 2.3689682e-45 2.4266808e-28 2.7993711e-55 9.0377097e-11 1 4.2409628e-43 2.4266808e-28 8.4567495e-65 0.24999999 0.75000001    0.010355313    0.030639307    0.049677182    0.066747064    0.081276119    0.092873862    0.10134582    0.10668745    0.10906015    0.0058979446    0.017461252    0.10875636    0.028344714    0.038152296    0.046566793    0.10615837    1
3370.6546 9191.1287 1.0816871 1 1.143941e-12 0.99997198 2.8020658e-05 2.8177929e-22 1.0567143e-10 2.4218542e-28 3.6875736e-45 2.8132571e-28 5.398587e-55 1.0567143e-10 1 6.6927359e-43 2.813257e-28 1.9050133e-64 0.24999999 0.75000001    0.010395773    0.030754729    0.049850466    0.066952133    0.081481141    0.093044995    0.10145094    0.10669937    0.10895893    0.0058874768    0.017427937    0.10853057    0.028283112    0.038054285    0.046422812    0.10580533    1
3336.657 9098.4512 1.0816863 1 5.9906321e-13 0.99996214 3.7861673e-05 3.7955976e-22 1.2396723e-10 2.830525e-28 5.796226e-45 3.2731064e-28 1.054078e-54 1.2396723e-10 1 1.0664203e-42 3.2731064e-28 4.3592028e-64 0.24999999 0.75000001    0.010437161    0.030872778    0.050027623    0.067161654    0.081690416    0.093219419    0.10155775    0.10671094    0.10885513    0.0058767821    0.01739391    0.10830007    0.028220234    0.037954325    0.046276098    0.10544571    1
3303.3828 9007.7456 1.0816853 1 3.1397207e-13 0.99994885 5.1145646e-05 5.1087328e-22 1.4542144e-10 3.3083616e-28 9.111477e-45 3.8094767e-28 2.0531073e-54 1.4542144e-10 1 1.6987452e-42 3.8094767e-28 9.9502819e-64 0.24999999 0.75000001    0.010478599    0.030990946    0.050204886    0.067371166    0.081899484    0.093393407    0.10166395    0.10672189    0.10875096    0.0058660882    0.017359899    0.10806975    0.028157423    0.037854548    0.046129785    0.10508721    1
3270.1085 8917.0401 1.0816838 1 1.62394e-13 0.99993048 6.9524584e-05 6.9159575e-22 1.711697e-10 3.8802241e-28 1.4465582e-44 4.4499705e-28 4.044687e-54 1.7116969e-10 1 2.7327061e-42 4.4499704e-28 2.3049754e-63 0.24999999 0.75000001    0.010520988    0.031111803    0.050386111    0.067585222    0.08211288    0.093570727    0.10177184    0.10673245    0.10864415    0.0058551629    0.017325163    0.10783463    0.028093315    0.037752793    0.045980706    0.10472206    1
3237.5577 8828.3063 1.0816817 1 8.4090847e-14 0.99990553 9.4467449e-05 9.355566e-22 2.0144644e-10 4.5508256e-28 2.2962213e-44 5.1995592e-28 7.9344585e-54 2.0144644e-10 1 4.3936463e-42 5.1995591e-28 5.3160815e-63 0.24999999 0.75000001    0.010563408    0.031232724    0.050567356    0.067799163    0.082325953    0.093747505    0.10187905    0.10674236    0.108537    0.0058442439    0.01729046    0.10759983    0.028029307    0.03765128    0.045832116    0.10435825    1
3205.0068 8739.5726 1.0816789 1 4.296261e-14 0.99987082 0.00012917824 1.2732392e-21 2.379002e-10 5.3560974e-28 3.6819038e-44 6.0980922e-28 1.5716401e-53 2.3790019e-10 1 7.1350689e-42 6.0980921e-28 1.242265e-62 0.24999999 0.75000001    0.010606801    0.031356395    0.050752648    0.068017737    0.082543426    0.093927652    0.10198793    0.10675183    0.10842713    0.0058330891    0.01725502    0.10736014    0.027963982    0.03754776    0.045680728    0.10398772    1
