zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    2.7733903e-11    9.832972e-10    1.6385432e-09    1.9016123e-08    0    4.2598297e-08    0    4.5135793e-08    1.2771961e-12    9.1163439e-12    2.40402e-11    3.7750472e-11    5.8225748e-11    6.9609888e-11    6.9869609e-11    5.6744664e-11    8.2858529e-13    4.6646877e-12    0    4.5044809e-11    7.7582985e-12    0    9.7617222e-12    0    1.2227602e-11    0    2.4319093e-11    4.2322617e-10    0    0    0    0    0
1100.0498    2.7657174e-11    9.8892001e-10    1.6504199e-09    1.9164931e-08    0    4.330365e-08    0    4.6597923e-08    1.3049428e-12    9.3109945e-12    2.4548506e-11    3.8541851e-11    5.9439598e-11    7.1056551e-11    7.131929e-11    5.7909158e-11    8.4557484e-13    4.7613986e-12    0    4.5981467e-11    7.9185006e-12    0    9.964049e-12    0    1.2483618e-11    0    2.4826278e-11    4.3203698e-10    0    0    0    0    0
1099.3264    2.7582687e-11    9.9437032e-10    1.6618744e-09    1.9309316e-08    0    4.3985727e-08    0    4.8012445e-08    1.3330748e-12    9.5082429e-12    2.5063433e-11    3.9343351e-11    6.0668457e-11    7.2520678e-11    7.27861e-11    5.9086778e-11    8.6275671e-13    4.8592913e-12    0    4.6928827e-11    8.0806074e-12    0    1.0168754e-11    0    1.2742644e-11    0    2.5339194e-11    4.4095333e-10    0    0    0    0    0
1098.603    2.7510666e-11    9.9966523e-10    1.6729383e-09    1.9449614e-08    0    4.4645636e-08    0    4.93813e-08    1.3615787e-12    9.7079889e-12    2.5584714e-11    4.0154542e-11    6.191163e-11    7.4001416e-11    7.4269157e-11    6.0276778e-11    8.8011946e-13    4.9583093e-12    0    4.7886292e-11    8.2445219e-12    0    1.0375712e-11    0    1.3004521e-11    0    2.5857512e-11    4.4996995e-10    0    0    0    0    0
1097.8797    2.7441329e-11    1.0048216e-09    1.6836427e-09    1.9586159e-08    1.3013228e-10    4.5284471e-08    0    5.0706413e-08    1.3904397e-12    9.9101236e-12    2.6112055e-11    4.0974962e-11    6.3168373e-11    7.5497846e-11    7.5767515e-11    6.1478358e-11    8.9765081e-13    5.0583918e-12    0    4.8853219e-11    8.4101396e-12    0    1.0584789e-11    0    1.3269075e-11    0    2.6380879e-11    4.5908117e-10    0    0    0    0    0
1097.1563    2.7374887e-11    1.0098558e-09    1.6940179e-09    1.9719278e-08    3.0158156e-10    4.5903316e-08    0    5.1989687e-08    1.419642e-12    1.011453e-11    2.6645143e-11    4.1804113e-11    6.4437886e-11    7.7008985e-11    7.7280161e-11    6.2690667e-11    9.1533768e-13    5.1594739e-12    0    4.9828924e-11    8.5773491e-12    0    1.0795839e-11    0    1.3536125e-11    0    2.690892e-11    4.6828091e-10    0    0    0    0    0
1096.433    2.7311547e-11    1.0147842e-09    1.7040939e-09    1.9849293e-08    4.67249e-10    4.650324e-08    0    5.3233003e-08    1.4491685e-12    1.0321082e-11    2.7183644e-11    4.2641464e-11    6.5719315e-11    7.8533787e-11    7.8806022e-11    6.3912801e-11    9.3316616e-13    5.2614861e-12    0    5.0812682e-11    8.7460318e-12    0    1.1008711e-11    0    1.3805474e-11    0    2.7441235e-11    4.7756272e-10    0    0    0    0    0
1095.7096    2.7251508e-11    1.0196226e-09    1.7138999e-09    1.9976522e-08    6.2733441e-10    4.7085297e-08    0    5.4438217e-08    1.4790009e-12    1.0529647e-11    2.77272e-11    4.3486449e-11    6.7011759e-11    8.0071146e-11    8.0343959e-11    6.5143808e-11    9.5112159e-13    5.3643552e-12    0    5.1803726e-11    8.9160622e-12    0    1.1223242e-11    0    1.4076916e-11    0    2.7977406e-11    4.8691978e-10    0    0    0    0    0
1094.9863    2.7194964e-11    1.0243865e-09    1.7234645e-09    2.0101276e-08    7.8203466e-10    4.7650524e-08    0    5.5607156e-08    1.5091198e-12    1.0740083e-11    2.8275433e-11    4.4338472e-11    6.8314263e-11    8.1619893e-11    8.1892775e-11    6.6382685e-11    9.691885e-13    5.4680035e-12    0    5.2801249e-11    9.087308e-12    0    1.1439262e-11    0    1.4350235e-11    0    2.8516988e-11    4.9634486e-10    0    0    0    0    0
1094.2629    2.7142103e-11    1.0290912e-09    1.7328158e-09    2.0223861e-08    9.3154339e-10    4.8199944e-08    0    5.674162e-08    1.5395046e-12    1.0952239e-11    2.8827945e-11    4.5196903e-11    6.9625822e-11    8.31788e-11    8.3451211e-11    6.7628381e-11    9.8735068e-13    5.5723496e-12    0    5.3804406e-11    9.2596303e-12    0    1.1656592e-11    0    1.4625203e-11    0    2.9059519e-11    5.0583041e-10    0    0    0    0    0
1093.5396    2.709311e-11    1.0337517e-09    1.7419811e-09    2.0344578e-08    1.0760509e-09    4.8734558e-08    0    5.7843377e-08    1.5701336e-12    1.1165959e-11    2.9384317e-11    4.6061081e-11    7.0945386e-11    8.4746583e-11    8.5017951e-11    6.88798e-11    1.0055912e-12    5.6773082e-12    0    5.4812314e-11    9.4328838e-12    0    1.1875045e-11    0    1.490158e-11    0    2.9604514e-11    5.1536851e-10    0    0    0    0    0
1092.8162    2.7048161e-11    1.0383825e-09    1.7509872e-09    2.0463721e-08    1.2157437e-09    4.9255351e-08    0    5.8914163e-08    1.6009841e-12    1.1381077e-11    2.9944112e-11    4.6930315e-11    7.2271856e-11    8.6321901e-11    8.6591625e-11    7.0135801e-11    1.0238924e-12    5.78279e-12    0    5.5824053e-11    9.6069168e-12    0    1.2094425e-11    0    1.5179118e-11    0    3.015147e-11    5.249509e-10    0    0    0    0    0
1092.0929    2.7007432e-11    1.0429979e-09    1.7598601e-09    2.0581578e-08    1.350805e-09    4.976329e-08    0    5.9955684e-08    1.6320322e-12    1.1597421e-11    3.0506871e-11    4.7803886e-11    7.3604089e-11    8.7903361e-11    8.8170808e-11    7.13952e-11    1.042236e-12    5.8887026e-12    0    5.683867e-11    9.7815721e-12    0    1.2314531e-11    0    1.5457561e-11    0    3.0699865e-11    5.34569e-10    0    0    0    0    0
1091.3695    2.697109e-11    1.0476119e-09    1.7686254e-09    2.0698432e-08    1.4814135e-09    5.0259322e-08    0    6.0969609e-08    1.6632532e-12    1.1814812e-11    3.1072122e-11    4.8681045e-11    7.4940901e-11    8.948952e-11    8.9754026e-11    7.2656774e-11    1.060603e-12    5.9949497e-12    0    5.7855178e-11    9.9566864e-12    0    1.2535153e-11    0    1.5736639e-11    0    3.124916e-11    5.4421392e-10    0    0    0    0    0
1090.6462    2.69393e-11    1.0522382e-09    1.7773079e-09    2.081456e-08    1.6077444e-09    5.0744372e-08    0    6.1957574e-08    1.6946212e-12    1.2033063e-11    3.1639372e-11    4.956102e-11    7.6281066e-11    9.1078888e-11    9.1339757e-11    7.3919265e-11    1.078974e-12    6.1014324e-12    0    5.8872562e-11    1.0132092e-11    0    1.2756075e-11    0    1.601608e-11    0    3.1798798e-11    5.5387649e-10    0    0    0    0    0
1089.9228    2.6912223e-11    1.0568902e-09    1.7859318e-09    2.0930234e-08    1.7299685e-09    5.1219349e-08    0    6.2921179e-08    1.7261097e-12    1.2251984e-11    3.2208113e-11    5.0443012e-11    7.7623324e-11    9.266993e-11    9.2926437e-11    7.5181376e-11    1.0973288e-12    6.2080482e-12    0    5.9889778e-11    1.0307614e-11    0    1.2977074e-11    0    1.6295598e-11    0    3.2348208e-11    5.6354727e-10    0    0    0    0    0
1089.1995    2.6890016e-11    1.0615809e-09    1.7945207e-09    2.1045719e-08    1.8482524e-09    5.168514e-08    0    6.3861991e-08    1.7576909e-12    1.2471376e-11    3.2777822e-11    5.1326199e-11    7.8966377e-11    9.4261071e-11    9.451246e-11    7.6441783e-11    1.1156469e-12    6.3146922e-12    0    6.0905754e-11    1.0483077e-11    0    1.3197921e-11    0    1.6574904e-11    0    3.2896806e-11    5.7321657e-10    0    0    0    0    0
1088.4761    2.6872833e-11    1.0663232e-09    1.8030976e-09    2.1161274e-08    1.9627586e-09    5.2142612e-08    0    6.4781538e-08    1.7893366e-12    1.2691035e-11    3.3347965e-11    5.2209739e-11    8.0308898e-11    9.58507e-11    9.6096185e-11    7.7699133e-11    1.1339073e-12    6.4212571e-12    0    6.19194e-11    1.0658298e-11    0    1.3418385e-11    0    1.68537e-11    0    3.3443995e-11    5.8287448e-10    0    0    0    0    0
1087.7528    2.688496e-11    1.0705558e-09    1.8095849e-09    2.1254541e-08    2.0342285e-09    5.2457077e-08    0    6.5408084e-08    1.8059153e-12    1.2803317e-11    3.3635396e-11    5.264991e-11    8.0959978e-11    9.660711e-11    9.6836927e-11    7.8266721e-11    1.1417339e-12    6.4721852e-12    0    6.2379483e-11    1.074017e-11    0    1.3520023e-11    0    1.6982104e-11    0    3.3690186e-11    5.8743214e-10    0    0    0    0    0
1087.0294    2.710734e-11    1.0799401e-09    1.8223634e-09    2.1426246e-08    2.0347109e-09    5.2796776e-08    0    6.5846913e-08    1.8015564e-12    1.2766366e-11    3.3530006e-11    5.2474069e-11    8.0646012e-11    9.6196917e-11    9.6393807e-11    7.7862447e-11    1.134647e-12    6.4452967e-12    0    6.2056974e-11    1.0691017e-11    0    1.3454182e-11    0    1.689786e-11    0    3.3509844e-11    5.8483118e-10    0    0    0    0    0
1086.306    2.7431103e-11    1.0934185e-09    1.8419861e-09    2.1678927e-08    2.0434066e-09    5.3336146e-08    0    6.6537546e-08    1.8041077e-12    1.277839e-11    3.3553253e-11    5.2499549e-11    8.0641736e-11    9.6156377e-11    9.6321343e-11    7.7757836e-11    1.1319361e-12    6.4431723e-12    0    6.1973441e-11    1.0682971e-11    0    1.3440115e-11    0    1.6878683e-11    0    3.3458624e-11    5.844787e-10    0    0    0    0    0
1085.5827    2.777032e-11    1.1075717e-09    1.8626681e-09    2.1944671e-08    2.0538115e-09    5.3907453e-08    0    6.7270937e-08    1.8078319e-12    1.2798704e-11    3.3598232e-11    5.2558989e-11    8.0689715e-11    9.6178228e-11    9.6311479e-11    7.7703818e-11    1.1299657e-12    6.445228e-12    0    6.1930369e-11    1.0681866e-11    0    1.3434803e-11    0    1.6870534e-11    0    3.3429299e-11    5.8450614e-10    0    0    0    0    0
1084.8593    2.8111847e-11    1.1218778e-09    1.8835277e-09    2.2213113e-08    2.0649602e-09    5.4485156e-08    0    6.8015305e-08    1.8118623e-12    1.2821161e-11    3.3648802e-11    5.262712e-11    8.075109e-11    9.6216102e-11    9.6317732e-11    7.7662825e-11    1.1281876e-12    6.4483575e-12    0    6.1897814e-11    1.0682547e-11    0    1.3431757e-11    0    1.6865263e-11    0    3.3405696e-11    5.8463155e-10    0    0    0    0    0
1084.136    2.8455266e-11    1.1363217e-09    1.9045387e-09    2.2483949e-08    2.0768436e-09    5.5068511e-08    0    6.8769794e-08    1.8161698e-12    1.2845552e-11    3.3704407e-11    5.2703072e-11    8.0824504e-11    9.6268363e-11    9.633845e-11    7.7633501e-11    1.1265816e-12    6.4524512e-12    0    6.1874695e-11    1.068483e-11    0    1.3430744e-11    0    1.6862577e-11    0    3.3387228e-11    5.8484493e-10    0    0    0    0    0
