zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    3.7865986e-11    1.0289149e-09    1.4888336e-09    1.8443608e-08    0    2.7456941e-08    0    2.2928656e-09    8.922083e-13    6.3519964e-12    1.6726363e-11    2.6231713e-11    4.0058203e-11    4.754446e-11    4.7383488e-11    3.8114065e-11    5.4297237e-13    3.1994598e-12    0    3.0094772e-11    5.2787197e-12    0    6.5859257e-12    0    8.1970149e-12    0    1.6159295e-11    2.8760272e-10    0    0    0    0    0
1100.0498    3.7903952e-11    1.0462211e-09    1.5225952e-09    1.8826082e-08    0    2.8933265e-08    0    5.1777789e-09    9.0851663e-13    6.4655762e-12    1.7021975e-11    2.6690246e-11    4.0752224e-11    4.836395e-11    4.8197796e-11    3.8758552e-11    5.5192853e-13    3.2543041e-12    0    3.0612359e-11    5.3686102e-12    0    6.6983848e-12    0    8.3389245e-12    0    1.6438322e-11    2.9256602e-10    0    0    0    0    0
1099.3264    3.7940685e-11    1.0631302e-09    1.5555058e-09    1.9200076e-08    0    3.0374634e-08    0    7.9946454e-09    9.2503575e-13    6.5805634e-12    1.7321157e-11    2.7154201e-11    4.1454164e-11    4.9192558e-11    4.9020956e-11    3.9409683e-11    5.6097439e-13    3.3097645e-12    0    3.1135374e-11    5.4594801e-12    0    6.8120555e-12    0    8.4823696e-12    0    1.6720246e-11    2.9758409e-10    0    0    0    0    0
1098.603    3.7976482e-11    1.0796581e-09    1.587592e-09    1.9565868e-08    0    3.1781805e-08    0    1.0744682e-08    9.4176272e-13    6.6969351e-12    1.7623847e-11    2.7623477e-11    4.2163852e-11    5.0030065e-11    4.985274e-11    4.0067257e-11    5.7010687e-13    3.3658267e-12    0    3.1663658e-11    5.5513043e-12    0    6.9269051e-12    0    8.6273082e-12    0    1.7004978e-11    3.0265559e-10    0    0    0    0    0
1097.8797    3.8011642e-11    1.0958208e-09    1.6188806e-09    1.9923739e-08    0    3.3155562e-08    0    1.3429161e-08    9.5869418e-13    6.8146652e-12    1.7929973e-11    2.8097959e-11    4.2881097e-11    5.0876232e-11    5.0692896e-11    4.0731056e-11    5.7932261e-13    3.4224751e-12    0    3.2197036e-11    5.6440554e-12    0    7.0428973e-12    0    8.7736939e-12    0    1.729242e-11    3.07779e-10    0    0    0    0    0
1097.1563    3.8046461e-11    1.1116345e-09    1.6493993e-09    2.0273978e-08    0    3.449671e-08    0    1.6049398e-08    9.7582629e-13    6.9337244e-12    1.8239454e-11    2.8577518e-11    4.3605685e-11    5.1730793e-11    5.1541145e-11    4.1400842e-11    5.8861793e-13    3.4796923e-12    0    3.2735315e-11    5.7377028e-12    0    7.1599928e-12    0    8.9214758e-12    0    1.7582468e-11    3.1295269e-10    0    0    0    0    0
1096.433    3.8081232e-11    1.1271156e-09    1.6791759e-09    2.0616878e-08    0    3.5806079e-08    0    1.8606755e-08    9.9315477e-13    7.0540801e-12    1.8552202e-11    2.9062011e-11    4.4337384e-11    5.2593456e-11    5.2397185e-11    4.2076356e-11    5.9798885e-13    3.5374592e-12    0    3.3278289e-11    5.8322136e-12    0    7.2781482e-12    0    9.0705989e-12    0    1.7875006e-11    3.1817486e-10    0    0    0    0    0
1095.7096    3.8116247e-11    1.1422808e-09    1.7082385e-09    2.0952736e-08    0    3.7084515e-08    0    2.1102632e-08    1.0106748e-12    7.1756965e-12    1.8868121e-11    2.9551284e-11    4.507594e-11    5.3463908e-11    5.3260691e-11    4.2757318e-11    6.0743111e-13    3.5957551e-12    0    3.3825732e-11    5.9275519e-12    0    7.3973171e-12    0    9.2210034e-12    0    1.816991e-11    3.2344354e-10    0    0    0    0    0
1094.9863    3.8151796e-11    1.1571467e-09    1.7366157e-09    2.1281853e-08    0    3.8332881e-08    0    2.3538461e-08    1.0283813e-12    7.2985344e-12    1.9187103e-11    3.0045168e-11    4.5821079e-11    5.4341808e-11    5.4131309e-11    4.3443431e-11    6.1694012e-13    3.6545578e-12    0    3.4377406e-11    6.0236789e-12    0    7.5174493e-12    0    9.3726253e-12    0    1.8467049e-11    3.2875664e-10    0    0    0    0    0
1094.2629    3.8188164e-11    1.1717301e-09    1.764336e-09    2.1604535e-08    0    3.9552054e-08    0    2.5915705e-08    1.0462684e-12    7.4225512e-12    1.9509035e-11    3.054348e-11    4.6572505e-11    5.5226792e-11    5.5008663e-11    4.4134374e-11    6.2651101e-13    3.7138431e-12    0    3.4933054e-11    6.1205534e-12    0    7.6384912e-12    0    9.5253962e-12    0    1.8766281e-11    3.341119e-10    0    0    0    0    0
