zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    1.0922615e-11    4.9977729e-10    9.2765018e-10    1.0730468e-08    3.1096936e-09    3.2170401e-08    0    4.5283288e-08    5.0161776e-12    3.6061244e-11    9.5298978e-11    1.5008057e-10    2.3738594e-10    2.8874355e-10    2.946277e-10    2.4458571e-10    3.8453519e-12    1.9284962e-11    0    1.965911e-10    3.267575e-11    0    4.1938687e-11    0    5.3201795e-11    0    1.0739997e-10    1.7778671e-09    0    0    0    0    0
1100.0498    1.0795103e-11    4.9594771e-10    9.2088196e-10    1.066357e-08    3.125305e-09    3.2043179e-08    0    4.5204958e-08    5.2153711e-12    3.7482602e-11    9.9035347e-11    1.5594621e-10    2.4667771e-10    3.000564e-10    3.0618651e-10    2.5416339e-10    4.0007302e-12    2.0042829e-11    0    2.0434479e-10    3.3960921e-11    0    4.3595281e-11    0    5.5310924e-11    0    1.116435e-10    1.8477173e-09    0    0    0    0    0
1099.3264    1.0671903e-11    4.9222391e-10    9.1427679e-10    1.0598206e-08    3.1394898e-09    3.1915521e-08    0    4.5121235e-08    5.4201776e-12    3.8943413e-11    1.0287438e-10    1.619722e-10    2.5622224e-10    3.1167584e-10    3.1805766e-10    2.6399748e-10    4.1604963e-12    2.082143e-11    0    2.1230758e-10    3.5281111e-11    0    4.5297062e-11    0    5.7477547e-11    0    1.1600126e-10    1.9194624e-09    0    0    0    0    0
1098.603    1.0552999e-11    4.886102e-10    9.0784395e-10    1.0534495e-08    3.1523793e-09    3.1788013e-08    0    4.5033212e-08    5.6305186e-12    4.0443067e-11    1.0681441e-10    1.6815583e-10    2.6601501e-10    3.2359621e-10    3.3023521e-10    2.7408278e-10    4.3245754e-12    2.16204e-11    0    2.2047532e-10    3.6635677e-11    0    4.7043185e-11    0    5.9700576e-11    0    1.2047093e-10    1.993067e-09    0    0    0    0    0
1097.8797    1.0438369e-11    4.8511052e-10    9.01592e-10    1.0472547e-08    3.1640982e-09    3.1661209e-08    0    4.4941927e-08    5.8462932e-12    4.1980794e-11    1.1085332e-10    1.7449374e-10    2.7605048e-10    3.3581053e-10    3.4271185e-10    2.8441298e-10    4.4928732e-12    2.2439284e-11    0    2.2884293e-10    3.8023822e-11    0    4.8832612e-11    0    6.1978668e-11    0    1.2504968e-10    2.0684878e-09    0    0    0    0    0
1097.1563    1.0327989e-11    4.8172849e-10    8.955288e-10    1.0412464e-08    3.1747646e-09    3.153563e-08    0    4.4848358e-08    6.0673773e-12    4.3555656e-11    1.1498858e-10    1.8098187e-10    2.8632195e-10    3.4831047e-10    3.5547888e-10    2.9498055e-10    4.6652753e-12    2.3277534e-11    0    2.3740435e-10    3.9444593e-11    0    5.0664093e-11    0    6.4310218e-11    0    1.2973417e-10    2.1456727e-09    0    0    0    0    0
1096.433    1.0221835e-11    4.7846741e-10    8.8966156e-10    1.0354341e-08    3.1844903e-09    3.1411767e-08    0    4.4753428e-08    6.2936222e-12    4.5166543e-11    1.1921719e-10    1.8761545e-10    2.9682159e-10    3.6108625e-10    3.6852612e-10    3.0577676e-10    4.8416462e-12    2.4134508e-11    0    2.4615255e-10    4.0896874e-11    0    5.253617e-11    0    6.669335e-11    0    1.3452047e-10    2.224561e-09    0    0    0    0    0
1095.7096    1.0119879e-11    4.753303e-10    8.8399693e-10    1.0298267e-08    3.1933813e-09    3.1290082e-08    0    4.4658012e-08    6.5248547e-12    4.6812163e-11    1.2353568e-10    1.9438895e-10    3.0754038e-10    3.7412666e-10    3.818419e-10    3.1679163e-10    5.0218288e-12    2.5009464e-11    0    2.5507944e-10    4.2379378e-11    0    5.4447165e-11    0    6.9125909e-11    0    1.3940412e-10    2.3050827e-09    0    0    0    0    0
1094.9863    1.0022091e-11    4.7231992e-10    8.7854098e-10    1.0244325e-08    3.2015378e-09    3.1171011e-08    0    4.4562933e-08    6.7608758e-12    4.8491044e-11    1.2794011e-10    2.0129612e-10    3.1846808e-10    3.87419e-10    3.95413e-10    3.2801388e-10    5.205644e-12    2.5901562e-11    0    2.6417593e-10    4.3890651e-11    0    5.6395178e-11    0    7.1605454e-11    0    1.4438008e-10    2.3871588e-09    0    0    0    0    0
1094.2629    9.9284425e-12    4.694388e-10    8.732993e-10    1.019259e-08    3.2090545e-09    3.1054962e-08    0    4.4468968e-08    7.0014603e-12    5.0201526e-11    1.3242604e-10    2.0832991e-10    3.2959323e-10    4.0094904e-10    4.0922468e-10    3.3943096e-10    5.3928902e-12    2.6809859e-11    0    2.7343184e-10    4.542906e-11    0    5.8378081e-11    0    7.4129255e-11    0    1.4944273e-10    2.4707007e-09    0    0    0    0    0
1093.5396    9.8389012e-12    4.6668926e-10    8.6827702e-10    1.0143136e-08    3.216021e-09    3.0942321e-08    0    4.437685e-08    7.2463565e-12    5.1941762e-11    1.3698853e-10    2.154825e-10    3.4090312e-10    4.1470104e-10    4.232606e-10    3.51029e-10    5.5833427e-12    2.7733307e-11    0    2.8283593e-10    4.69928e-11    0    6.0393518e-11    0    7.6694292e-11    0    1.5458586e-10    2.5556106e-09    0    0    0    0    0
1092.8162    9.7534364e-12    4.6407342e-10    8.6347884e-10    1.0096027e-08    3.222522e-09    3.0833448e-08    0    4.428727e-08    7.4952863e-12    5.3709714e-11    1.4162217e-10    2.2274531e-10    3.5238379e-10    4.2865773e-10    4.3750287e-10    3.6279281e-10    5.776754e-12    2.8670758e-11    0    2.923759e-10    4.8579887e-11    0    6.2438903e-11    0    7.929725e-11    0    1.5980266e-10    2.6417809e-09    0    0    0    0    0
1092.0929    9.6720166e-12    4.6159324e-10    8.589091e-10    1.0051328e-08    3.2286376e-09    3.0728686e-08    0    4.4200882e-08    7.7479446e-12    5.5503152e-11    1.4632102e-10    2.3010896e-10    3.6402003e-10    4.4280031e-10    4.5193201e-10    3.7470593e-10    5.9728539e-12    2.9620959e-11    0    3.0203838e-10    5.0188162e-11    0    6.4511421e-11    0    8.1934524e-11    0    1.6508577e-10    2.7290947e-09    0    0    0    0    0
1091.3695    9.5946103e-12    4.5925052e-10    8.5457178e-10    1.0009095e-08    3.2344433e-09    3.0628354e-08    0    4.41183e-08    8.0039996e-12    5.7319661e-11    1.5107867e-10    2.375633e-10    3.757954e-10    4.5710848e-10    4.6652702e-10    3.8675058e-10    6.1713491e-12    3.0582554e-11    0    3.1180894e-10    5.181529e-11    0    6.6608033e-11    0    8.4602218e-11    0    1.7042722e-10    2.8174256e-09    0    0    0    0    0
