zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    4.3069297e-11    0    0    0    0    0    0    0    3.1141478e-13    2.2058289e-12    5.7588057e-12    8.9687288e-12    1.3399994e-11    1.5640583e-11    1.5289703e-11    1.1989448e-11    1.6229345e-13    1.0710934e-12    0    9.3289333e-12    1.7277744e-12    0    2.1289941e-12    0    2.6111362e-12    0    4.9328166e-12    9.3409858e-11    0    0    0    0    0
1100.0498    4.3708369e-11    0    0    0    0    0    0    0    3.1720908e-13    2.2457931e-12    5.8619883e-12    9.1274865e-12    1.3631608e-11    1.5906446e-11    1.554648e-11    1.2184125e-11    1.6467375e-13    1.0892718e-12    0    9.4827763e-12    1.7565775e-12    0    2.1639137e-12    0    2.6542986e-12    0    5.0141222e-12    9.4991003e-11    0    0    0    0    0
1099.3264    4.4351141e-11    0    0    0    0    0    0    0    3.2304578e-13    2.2860183e-12    5.9657987e-12    9.2871402e-12    1.3864375e-11    1.6173506e-11    1.5804308e-11    1.2379386e-11    1.6705343e-13    1.1075324e-12    0    9.6371501e-12    1.785493e-12    0    2.1989604e-12    0    2.6976306e-12    0    5.0957037e-12    9.6579026e-11    0    0    0    0    0
1098.603    4.4997541e-11    0    0    0    0    0    0    0    3.289238e-13    2.3264965e-12    6.0702152e-12    9.4476549e-12    1.409824e-11    1.6441698e-11    1.6063121e-11    1.2575178e-11    1.694317e-13    1.1258707e-12    0    9.7920125e-12    1.8145135e-12    0    2.2341249e-12    0    2.7411209e-12    0    5.1775385e-12    9.8173532e-11    0    0    0    0    0
1097.8797    4.5647503e-11    0    0    0    0    0    0    0    3.3484212e-13    2.3672201e-12    6.175217e-12    9.6089973e-12    1.4333152e-11    1.671096e-11    1.6322858e-11    1.2771447e-11    1.7180779e-13    1.1442826e-12    0    9.9473232e-12    1.8436319e-12    0    2.2693986e-12    0    2.7847589e-12    0    5.2596048e-12    9.9774144e-11    0    0    0    0    0
1097.1563    4.630096e-11    0    0    0    0    0    0    0    3.4079978e-13    2.4081817e-12    6.2807844e-12    9.7711357e-12    1.4569061e-11    1.6981232e-11    1.6583457e-11    1.2968146e-11    1.7418098e-13    1.162764e-12    0    1.0103044e-11    1.8728415e-12    0    2.3047732e-12    0    2.8285343e-12    0    5.341882e-12    1.013805e-10    0    0    0    0    0
1096.433    4.695785e-11    0    0    0    0    0    0    0    3.4679559e-13    2.4493726e-12    6.3868937e-12    9.9340323e-12    1.4805908e-11    1.7252444e-11    1.6844849e-11    1.3165217e-11    1.7655045e-13    1.1813103e-12    0    1.0259129e-11    1.9021346e-12    0    2.340239e-12    0    2.8724353e-12    0    5.4243459e-12    1.0299218e-10    0    0    0    0    0
1095.7096    4.761811e-11    0    0    0    0    0    0    0    3.5282863e-13    2.490786e-12    6.4935261e-12    1.0097657e-11    1.5043647e-11    1.752454e-11    1.7106976e-11    1.3362612e-11    1.7891551e-13    1.1999177e-12    0    1.0415542e-11    1.9315046e-12    0    2.3757881e-12    0    2.916452e-12    0    5.5069768e-12    1.0460884e-10    0    0    0    0    0
1094.9863    4.8281682e-11    0    0    0    0    0    0    0    3.5889775e-13    2.5324131e-12    6.6006586e-12    1.0261973e-11    1.5282221e-11    1.7797452e-11    1.7369771e-11    1.3560276e-11    1.8127536e-13    1.2185816e-12    0    1.057224e-11    1.9609441e-12    0    2.4114111e-12    0    2.9605728e-12    0    5.589751e-12    1.0623007e-10    0    0    0    0    0
1094.2629    4.8948509e-11    0    0    0    0    0    0    0    3.6500187e-13    2.5742462e-12    6.7082695e-12    1.0426945e-11    1.5521575e-11    1.8071114e-11    1.7633168e-11    1.3758155e-11    1.8362924e-13    1.2372978e-12    0    1.072918e-11    1.9904458e-12    0    2.447099e-12    0    3.0047866e-12    0    5.6726464e-12    1.0785548e-10    0    0    0    0    0
1093.5396    4.9618537e-11    0    0    0    0    0    0    0    3.7113996e-13    2.6162775e-12    6.8163385e-12    1.0592542e-11    1.576166e-11    1.8345468e-11    1.7897106e-11    1.3956201e-11    1.8597644e-13    1.2560622e-12    0    1.0886324e-11    2.020003e-12    0    2.4828436e-12    0    3.0490833e-12    0    5.7556419e-12    1.094847e-10    0    0    0    0    0
1092.8162    5.0291714e-11    0    0    0    0    0    0    0    3.7731077e-13    2.6584979e-12    6.9248404e-12    1.0758722e-11    1.6002413e-11    1.8620439e-11    1.8161514e-11    1.4154353e-11    1.8831611e-13    1.2748699e-12    0    1.1043625e-11    2.0496074e-12    0    2.5186347e-12    0    3.0934501e-12    0    5.8387125e-12    1.1111729e-10    0    0    0    0    0
1092.0929    5.0967992e-11    0    0    0    0    0    0    0    3.8351333e-13    2.7009001e-12    7.033756e-12    1.0925457e-11    1.6243788e-11    1.889597e-11    1.8426331e-11    1.4352565e-11    1.9064759e-13    1.2937171e-12    0    1.1201046e-11    2.0792528e-12    0    2.5544645e-12    0    3.1378774e-12    0    5.921838e-12    1.127529e-10    0    0    0    0    0
1091.3695    5.1647322e-11    0    0    0    0    0    0    0    3.8974641e-13    2.7434752e-12    7.1430614e-12    1.1092706e-11    1.6485726e-11    1.9171992e-11    1.869149e-11    1.4550779e-11    1.9297008e-13    1.3125992e-12    0    1.1358542e-11    2.1089313e-12    0    2.5903232e-12    0    3.1823531e-12    0    6.0049945e-12    1.1439112e-10    0    0    0    0    0
1090.6462    5.2329661e-11    0    0    0    0    0    0    0    3.960089e-13    2.786215e-12    7.2527342e-12    1.1260435e-11    1.6728172e-11    1.9448439e-11    1.8956924e-11    1.4748943e-11    1.9528284e-13    1.3315118e-12    0    1.1516071e-11    2.1386356e-12    0    2.626202e-12    0    3.2268662e-12    0    6.0881595e-12    1.1603155e-10    0    0    0    0    0
1089.9228    5.3014966e-11    0    0    0    0    0    0    0    4.0229969e-13    2.8291114e-12    7.3627529e-12    1.142861e-11    1.6971073e-11    1.9725248e-11    1.922257e-11    1.4947006e-11    1.9758514e-13    1.3504508e-12    0    1.1673593e-11    2.1683588e-12    0    2.6620922e-12    0    3.2714059e-12    0    6.1713112e-12    1.176738e-10    0    0    0    0    0
1089.1995    5.3703199e-11    0    0    0    0    0    0    0    4.0861747e-13    2.8721548e-12    7.4730918e-12    1.159719e-11    1.7214367e-11    2.0002345e-11    1.9488354e-11    1.5144907e-11    1.9987615e-13    1.369411e-12    0    1.1831061e-11    2.1980927e-12    0    2.6979836e-12    0    3.3159594e-12    0    6.2544243e-12    1.1931743e-10    0    0    0    0    0
1088.4761    5.4394322e-11    0    0    0    0    0    0    0    4.1496121e-13    2.9153378e-12    7.5837305e-12    1.1766143e-11    1.7458004e-11    2.0279672e-11    1.9754216e-11    1.53426e-11    2.0215522e-13    1.3883888e-12    0    1.1988437e-11    2.2278307e-12    0    2.7338682e-12    0    3.3605168e-12    0    6.3374782e-12    1.2096208e-10    0    0    0    0    0
1087.7528    5.4832921e-11    0    0    0    0    0    0    0    4.1820469e-13    2.9366861e-12    7.637158e-12    1.1845821e-11    1.7568457e-11    2.0401626e-11    1.9867629e-11    1.5420727e-11    2.0282861e-13    1.3968076e-12    0    1.2051931e-11    2.2404595e-12    0    2.7488455e-12    0    3.3793329e-12    0    6.3706315e-12    1.2167575e-10    0    0    0    0    0
1087.0294    5.478677e-11    0    0    0    0    0    0    0    4.1543344e-13    2.915756e-12    7.5799089e-12    1.1752951e-11    1.742192e-11    2.0224113e-11    1.9687469e-11    1.5269114e-11    2.0043415e-13    1.3848738e-12    0    1.1934886e-11    2.2201527e-12    0    2.7236133e-12    0    3.3486232e-12    0    6.3078396e-12    1.2059567e-10    0    0    0    0    0
