zem    H2_20    H2_31    H2_42    H2_53    H2_64    H2_75    H2_86    H2_ALL    HD_10    HD_21    HD_32    HD_43    HD_54    HD_65    HD_76    HD_87    HD_v1j0_v0j1    HD_v1j1_v0j0    HD_v1j1_v0j2    HD_98    HD_v1j2_v0j1    HD_v1j2_v0j3    HD_v1j3_v0j2    HD_v1j3_v0j4    HD_v1j4_v0j3    HD_v1j4_v0j5    HD_109    HD_ALL    HeHp_10    HeHp_21    HeHp_32    HeHp_43    HeHp_ALL
1100.7731    4.1894511e-11    8.9929253e-10    1.1016318e-09    1.512138e-08    0    1.0064433e-08    0    0    7.6037489e-13    5.4086207e-12    1.4232681e-11    2.2311677e-11    3.3929444e-11    4.0144704e-11    3.988241e-11    3.1958493e-11    4.5157063e-13    2.7080929e-12    0    2.515865e-11    4.4519592e-12    0    5.5339611e-12    0    6.8641441e-12    0    1.3472113e-11    2.423077e-10    0    0    0    0    0
1100.0498    4.2221357e-11    9.1585837e-10    1.125544e-09    1.5447319e-08    0    1.1013886e-08    0    0    7.6840727e-13    5.4633159e-12    1.4373161e-11    2.2526921e-11    3.4244107e-11    4.0506922e-11    4.0233822e-11    3.2224413e-11    4.5487733e-13    2.7325607e-12    0    2.5372045e-11    4.4908464e-12    0    5.5814982e-12    0    6.9237091e-12    0    1.3585617e-11    2.4447212e-10    0    0    0    0    0
1099.3264    4.2555461e-11    9.3233627e-10    1.148969e-09    1.5770228e-08    0    1.1941549e-08    0    0    7.7636859e-13    5.5174476e-12    1.4512072e-11    2.2739591e-11    3.455441e-11    4.0863608e-11    4.0579392e-11    3.2485177e-11    4.5809849e-13    2.7566669e-12    0    2.5581352e-11    4.5290907e-12    0    5.6281929e-12    0    6.9822059e-12    0    1.3696865e-11    2.46602e-10    0    0    0    0    0
1098.603    4.2897069e-11    9.4873527e-10    1.1719146e-09    1.6090264e-08    0    1.2847862e-08    0    0    7.8425545e-13    5.5709922e-12    1.4649352e-11    2.2949591e-11    3.4860204e-11    4.1214585e-11    4.0918945e-11    3.2740648e-11    4.6123207e-13    2.7803998e-12    0    2.5786458e-11    4.5666729e-12    0    5.6740208e-12    0    7.0396037e-12    0    1.3805795e-11    2.4869628e-10    0    0    0    0    0
1097.8797    4.3246424e-11    9.6506411e-10    1.1943881e-09    1.6407576e-08    0    1.3733255e-08    0    0    7.9206463e-13    5.6239271e-12    1.4784942e-11    2.3156829e-11    3.5161352e-11    4.1559688e-11    4.1252317e-11    3.2990694e-11    4.6427617e-13    2.8037486e-12    0    2.5987259e-11    4.6035748e-12    0    5.7189593e-12    0    7.0958736e-12    0    1.391235e-11    2.5075394e-10    0    0    0    0    0
1097.1563    4.3603763e-11    9.8133124e-10    1.2163958e-09    1.6722308e-08    0    1.4598143e-08    0    0    7.9979304e-13    5.676231e-12    1.4918788e-11    2.336122e-11    3.5457721e-11    4.1898763e-11    4.1579353e-11    3.3235194e-11    4.6722903e-13    2.8267029e-12    0    2.6183655e-11    4.6397795e-12    0    5.7629868e-12    0    7.1509883e-12    0    1.4016477e-11    2.5277405e-10    0    0    0    0    0
1096.433    4.396932e-11    9.975448e-10    1.2379432e-09    1.7034601e-08    0    1.5442932e-08    0    0    8.0743779e-13    5.7278836e-12    1.5050835e-11    2.3562683e-11    3.574919e-11    4.2231664e-11    4.1899909e-11    3.3474034e-11    4.7008902e-13    2.8492531e-12    0    2.6375555e-11    4.6752711e-12    0    5.8060836e-12    0    7.2049229e-12    0    1.4118128e-11    2.5475573e-10    0    0    0    0    0
1095.7096    4.4343325e-11    1.0137126e-09    1.2590348e-09    1.7344587e-08    0    1.6268012e-08    0    0    8.1499613e-13    5.7788661e-12    1.5181036e-11    2.3761141e-11    3.6035643e-11    4.2558257e-11    4.2213852e-11    3.3707113e-11    4.7285467e-13    2.8713903e-12    0    2.6562875e-11    4.7100352e-12    0    5.8482315e-12    0    7.2576543e-12    0    1.4217256e-11    2.5669818e-10    0    0    0    0    0
1094.9863    4.4726003e-11    1.0298421e-09    1.2796745e-09    1.7652394e-08    0    1.7073757e-08    0    0    8.224655e-13    5.829161e-12    1.5309346e-11    2.3956524e-11    3.6316977e-11    4.2878419e-11    4.2521063e-11    3.3934335e-11    4.7552465e-13    2.8931063e-12    0    2.6745541e-11    4.7440585e-12    0    5.889414e-12    0    7.3091615e-12    0    1.4313823e-11    2.5860065e-10    0    0    0    0    0
1094.2629    4.5117574e-11    1.0459404e-09    1.299865e-09    1.7958142e-08    0    1.7860529e-08    0    0    8.2984356e-13    5.878752e-12    1.5435721e-11    2.4148769e-11    3.6593096e-11    4.319204e-11    4.282143e-11    3.4155619e-11    4.7809779e-13    2.9143937e-12    0    2.6923483e-11    4.7773289e-12    0    5.9296161e-12    0    7.3594257e-12    0    1.440779e-11    2.6046247e-10    0    0    0    0    0
